aawdt
22200
9500
7600
6300
10300
13100
29500
8500
36700
23800
16700
38500
6800
8000
13400
16500
12200
8100
16700
36900
24500
7900
7400
8000
9800
23700
17000
11400
26200
11900
22100
18500
5300
5700
24100
15100
11000
14100
6000
25500
30100
11700
17100
4200
12300
11700
12200
5900
44000
25400
2800
35400
23000
8900
17000
15200
31000
24600
11500
20100
17300
11700
17100
11400
57200
12400
20700
15200
14900
9700
89400
20100
14500
6300
35000
22000
8600
20600
28500
40300
17800
25400
8200
11700
3700
14400
16800
83700
21300
12600
10500
28400
4600
15300
35500
11300
14100
25100
21100
12500
9600
14400
6700
13400
9200
13800
8900
19600
12200
7500
17100
12600
13800
9100
20500
7500
9300
19400
58900
25800
89400
9700
13800
13600
21600
4000
28700
4600
8600
13700
18600
22400
25300
12700
5800
22900
18300
28600
13500
36300
15700
16000
47800
8600
37000
12200
21500
11400
7300
27300
5900
24200
12900
12200
15700
16300
11600
7200
2200
11700
18600
15300
8300
11300
40400
10700
8700
14900
14400
14900
36600
7400
10200
5000
22800
83700
13800
27400
16100
12800
8300
81700
30300
18600
8000
15100
4900
25300
20500
35400
8800
6500
37300
19200
9400
22000
15600
20200
13500
23600
28800
28100
10300
10900
29600
14100
36600
17800
9600
