aawdt
30200
33400
24000
21300
7300
23100
11900
12200
4800
10200
12100
6900
21600
10800
10800
23200
7900
12700
9800
23800
30500
3400
7400
6800
14800
10600
13600
12900
15100
9700
12700
6800
12300
